model,steps,episodes,final_running_reward,mean_reward_last_5,best_reward,mean_loss,parameter_count
Original DQN,1500,7,1.2857142857142858,0.8,3.0,1.4041616526072376,1686180
Dueling DQN,1500,8,1.5,1.2,3.0,0.6142700534025378,1948069
